genome_ID total_n total_seq_bp avg_seq_bp median_seq_bp N50_bp min_seq_bp max_seq_bp
plate12.B5.pilon.contigs_renamed.fasta 84 5842220 69550.24 27781.5 141889 128 472139
plate12.B6.pilon.contigs_renamed.fasta 60 5949281 99154.68 478 393614 128 960791
plate12.B7.pilon.contigs_renamed.fasta 214 6063907 28336.01 362.5 855943 128 1374265
plate12.B8.pilon.contigs_renamed.fasta 105 6003360 57174.86 22968 133916 128 673048
plate12.B9.pilon.contigs_renamed.fasta 138 5997887 43462.95 13134 109524 128 379953
plate12.C10.pilon.contigs_renamed.fasta 67 5953837 88863.24 401 319359 128 640179
plate12.C11.pilon.contigs_renamed.fasta 628 5894267 9385.78 337 400686 128 993674
plate12.C1.pilon.contigs_renamed.fasta 71 5974702 84150.73 5588 333704 128 597328
plate12.C2.pilon.contigs_renamed.fasta 61 5990004 98196.79 1436 497886 128 690232
plate12.C3.pilon.contigs_renamed.fasta 92 5924418 64395.85 16623 186791 128 950103
plate12.C5.pilon.contigs_renamed.fasta 155 5840409 37680.06 18801 98492 128 329761
plate12.C6.pilon.contigs_renamed.fasta 46 5841607 126991.46 2559 340062 128 719114
plate12.C7.pilon.contigs_renamed.fasta 69 5897606 85472.55 23288 222277 128 514095
plate12.C8.pilon.contigs_renamed.fasta 80 5987148 74839.35 9884 231755 128 666782
plate12.C9.pilon.contigs_renamed.fasta 159 5984530 37638.55 17539 85436 128 361329
plate12.D12.pilon.contigs_renamed.fasta 67 6141931 91670.61 387 848013 128 1426915
plate12.D1.pilon.contigs_renamed.fasta 79 5983811 75744.44 29069 197987 128 492999
plate12.D2.pilon.contigs_renamed.fasta 59 5922361 100379 36583 267346 128 717120
plate12.D5.pilon.contigs_renamed.fasta 38 5837831 153627.13 72801.5 397915 128 982298
plate12.D6.pilon.contigs_renamed.fasta 148 5830573 39395.76 22262.5 76901 128 300732
plate12.D8.pilon.contigs_renamed.fasta 44 5940172 135003.91 63706 393865 128 926518
plate12.D9.pilon.contigs_renamed.fasta 56 5940502 106080.39 69720 222549 128 490941
plate12.E10.pilon.contigs_renamed.fasta 358 6089781 17010.56 325 1115699 128 1451349
plate12.E11.pilon.contigs_renamed.fasta 417 6100057 14628.43 299 1115744 128 1451348
plate12.E1.pilon.contigs_renamed.fasta 341 6185404 18139.01 302 1437562 128 1827718
plate12.E2.pilon.contigs_renamed.fasta 296 6075022 20523.72 345.5 260641 128 804870
plate12.E3.pilon.contigs_renamed.fasta 375 6173300 16462.13 301 848013 128 1426916
plate12.E4.pilon.contigs_renamed.fasta 117 5982320 51130.94 325 694732 128 1283416
plate12.E5.pilon.contigs_renamed.fasta 142 6021950 42408.1 343 262257 128 691624
plate12.E6.pilon.contigs_renamed.fasta 97 6121338 63106.58 344 847721 128 1426915
plate12.E7.pilon.contigs_renamed.fasta 116 6086253 52467.7 347.5 484672 128 1021337
plate12.E8.pilon.contigs_renamed.fasta 244 6039881 24753.61 319 676962 128 1274704
plate12.E9.pilon.contigs_renamed.fasta 281 6043728 21507.93 293 569483 128 705068
plate12.F10.pilon.contigs_renamed.fasta 70 6059425 86563.21 5230.5 359272 128 516679
plate12.F11.pilon.contigs_renamed.fasta 100 5983413 59834.13 495.5 335332 128 1025703
plate12.F12.pilon.contigs_renamed.fasta 704 6318907 8975.72 342 316791 128 752727
plate12.F1.pilon.contigs_renamed.fasta 99 5943975 60040.15 2019 247296 128 650220
plate12.F2.pilon.contigs_renamed.fasta 66 5978636 90585.39 357 592518 128 1043802
plate12.F3.pilon.contigs_renamed.fasta 86 5974485 69470.76 3981 358735 128 569549
plate12.F6.pilon.contigs_renamed.fasta 51 6101949 119646.06 3249 517570 128 847706
plate12.F9.pilon.contigs_renamed.fasta 62 5966013 96226.02 19744.5 328572 128 748130
plate12.G1.pilon.contigs_renamed.fasta 117 6142272 52498.05 1977 186740 128 381552
plate12.G2.pilon.contigs_renamed.fasta 66 6091429 92294.38 345.5 890178 128 1276282
plate12.G3.pilon.contigs_renamed.fasta 72 6089876 84581.61 387.5 341117 128 708327
plate12.G4.pilon.contigs_renamed.fasta 82 5970540 72811.46 27423 200381 128 534470
plate12.G5.pilon.contigs_renamed.fasta 39 5945694 152453.69 538 640179 128 1770354
plate12.G6.pilon.contigs_renamed.fasta 454 5922110 13044.3 6624 26916 128 161100
plate12.G7.pilon.contigs_renamed.fasta 62 6084349 98134.66 38265 271785 128 702272
plate12.G8.pilon.contigs_renamed.fasta 47 6084430 129455.96 318 779693 128 1437556
plate12.H10.pilon.contigs_renamed.fasta 136 5968826 43888.43 364 392508 128 911999
plate12.H1.pilon.contigs_renamed.fasta 151 6007388 39784.03 354 258649 128 670530
plate12.H2.pilon.contigs_renamed.fasta 547 6174868 11288.61 379 261443 128 672907
plate12.H3.pilon.contigs_renamed.fasta 129 6107973 47348.63 338 378014 128 714404
plate12.H4.pilon.contigs_renamed.fasta 78 6117076 78424.05 2086 268601 128 786568
plate12.H5.pilon.contigs_renamed.fasta 68 5994418 88153.21 361.5 497862 128 1056161
plate12.H6.pilon.contigs_renamed.fasta 125 6011370 48090.96 362 365905 128 663372
plate12.H7.pilon.contigs_renamed.fasta 4029 7232311 1795.06 397 88920 128 285228
plate12.H8.pilon.contigs_renamed.fasta 106 5916521 55816.24 351 366029 128 874725
plate12.H9.pilon.contigs_renamed.fasta 547 6214554 11361.16 336 724967 128 948979
plate13.A10.pilon.contigs_renamed.fasta 53 6064184 114418.57 339 420537 128 848013
plate13.A11.pilon.contigs_renamed.fasta 55 6136313 111569.33 606 435323 128 820894
plate13.A1.pilon.contigs_renamed.fasta 46 6022705 130928.37 2267 463072 128 812014
plate13.A2.pilon.contigs_renamed.fasta 65 6017309 92573.98 63897 189302 128 811894
plate13.A3.pilon.contigs_renamed.fasta 130 5944249 45724.99 15074 112163 128 399768
plate13.A4.pilon.contigs_renamed.fasta 91 5836498 64137.34 36050 120490 128 483523
plate13.A8.pilon.contigs_renamed.fasta 99 5996215 60567.83 31606 139781 128 372156
plate13.B10.pilon.contigs_renamed.fasta 51 6065183 118925.16 332 848013 128 1426915
plate13.B1.pilon.contigs_renamed.fasta 203 6020946 29659.83 11766 72574 128 506445
plate13.B2.pilon.contigs_renamed.fasta 55 6028080 109601.45 459 626069 128 812014
plate13.B3.pilon.contigs_renamed.fasta 43 5947748 138319.72 534 730422 128 1770336
plate13.B4.pilon.contigs_renamed.fasta 99 5752343 58104.47 421 210443 128 914576
plate13.B5.pilon.contigs_renamed.fasta 216 5735387 26552.72 7006.5 86877 128 261055
plate13.B6.pilon.contigs_renamed.fasta 474 5921940 12493.54 5499 30152 128 267883
plate13.B7.pilon.contigs_renamed.fasta 101 5993142 59338.04 26096 129762 128 672899
plate13.B8.pilon.contigs_renamed.fasta 51 6002044 117687.14 930 855832 128 1364785
plate13.B9.pilon.contigs_renamed.fasta 43 6059649 140922.07 42972 325885 128 649967
plate13.C10.pilon.contigs_renamed.fasta 1143 6648853 5817.02 350 303681 128 609026
plate13.C11.pilon.contigs_renamed.fasta 116 6042145 52087.46 333.5 515412 128 1217826
plate13.C12.pilon.contigs_renamed.fasta 121 5978344 49407.8 338 714674 128 1480150
plate13.C1.pilon.contigs_renamed.fasta 101 6003837 59443.93 342 410940 128 875460
plate13.C2.pilon.contigs_renamed.fasta 68 5995936 88175.53 316 497868 128 1892440
plate13.C3.pilon.contigs_renamed.fasta 93 5941381 63885.82 323 715367 128 901138
plate13.C5.pilon.contigs_renamed.fasta 142 5837923 41112.13 22045 89515 128 314295
plate13.C6.pilon.contigs_renamed.fasta 55 5841897 106216.31 58317 223647 128 641978
plate13.C7.pilon.contigs_renamed.fasta 60 5897122 98285.37 46968.5 237303 128 821112
plate13.C8.pilon.contigs_renamed.fasta 84 5961273 70967.54 327 623598 128 1560831
plate13.C9.pilon.contigs_renamed.fasta 134 5946599 44377.6 10304.5 123709 128 535918
plate13.D10.pilon.contigs_renamed.fasta 152 5918834 38939.7 367.5 229784 128 550893
plate13.D11.pilon.contigs_renamed.fasta 1030 6603687 6411.35 343 303681 128 634878
plate13.D12.pilon.contigs_renamed.fasta 124 6160918 49684.82 328 848013 128 1426916
plate13.D1.pilon.contigs_renamed.fasta 107 6006618 56136.62 353 635569 128 875460
plate13.D2.pilon.contigs_renamed.fasta 77 5998202 77898.73 363 690227 128 994280
plate13.D3.pilon.contigs_renamed.fasta 107 5945404 55564.52 309 715367 128 1677335
plate13.D5.pilon.contigs_renamed.fasta 311 6444395 20721.53 365 148487 128 977366
plate13.D6.pilon.contigs_renamed.fasta 52 5844201 112388.48 421.5 436171 128 645346
plate13.D7.pilon.contigs_renamed.fasta 52 5841707 112340.52 21634 330064 128 719114
plate13.D8.pilon.contigs_renamed.fasta 62 5906325 95263.31 325 686604 128 1071436
plate13.D9.pilon.contigs_renamed.fasta 99 5954177 60143.2 1202 176631 128 683468
plate13.E10.pilon.contigs_renamed.fasta 127 6003186 47269.18 344 1042632 128 1451349
plate13.E11.pilon.contigs_renamed.fasta 361 6097405 16890.32 342 1004625 128 1451349
plate13.E12.pilon.contigs_renamed.fasta 131 5977700 45631.3 328 730710 128 1557483
plate13.E1.pilon.contigs_renamed.fasta 1049 6448421 6147.21 346 296022 128 676165
plate13.E2.pilon.contigs_renamed.fasta 108 6001412 55568.63 344 378001 128 849393
plate13.E3.pilon.contigs_renamed.fasta 162 6012969 37117.09 335 612287 128 1115743
plate13.E4.pilon.contigs_renamed.fasta 620 6164163 9942.2 343 393466 128 722322
plate13.E6.pilon.contigs_renamed.fasta 96 6069701 63226.05 429 259233 128 476071
plate13.E7.pilon.contigs_renamed.fasta 62 6105290 98472.42 1142.5 292764 128 1426915
plate13.E8.pilon.contigs_renamed.fasta 90 5984145 66490.5 338 437564 128 1054396
plate13.E9.pilon.contigs_renamed.fasta 70 5975178 85359.69 439.5 338814 128 1036873
plate13.F10.pilon.contigs_renamed.fasta 137 6005814 43838.06 329 1115743 128 1451350
plate13.F11.pilon.contigs_renamed.fasta 174 6019802 34596.56 330 726359 128 1451348
plate13.F12.pilon.contigs_renamed.fasta 173 5999524 34679.33 325 647773 128 1262872
plate13.F1.pilon.contigs_renamed.fasta 1699 6686219 3935.38 356 251365 128 676165
plate13.F2.pilon.contigs_renamed.fasta 118 6000242 50849.51 327.5 1042838 128 1451348
plate13.F3.pilon.contigs_renamed.fasta 230 5989529 26041.43 332.5 337253 128 538067
plate13.F4.pilon.contigs_renamed.fasta 60 5961140 99352.33 1242.5 404562 128 684833
plate13.F5.pilon.contigs_renamed.fasta 482 6154441 12768.55 343 211489 128 424292
plate13.F6.pilon.contigs_renamed.fasta 359 6169488 17185.2 410 1353430 128 1826449
plate13.F7.pilon.contigs_renamed.fasta 77 6067420 78797.66 606 259173 128 1019912
plate13.F8.pilon.contigs_renamed.fasta 126 5996748 47593.24 347 676962 128 1269709
plate13.F9.pilon.contigs_renamed.fasta 117 6009284 51361.4 357 321749 128 889715
plate13.G10.pilon.contigs_renamed.fasta 912 5640525 6184.79 342 837385 128 1090266
plate13.G1.pilon.contigs_renamed.fasta 101 5893507 58351.55 348 359676 128 653320
plate13.G2.pilon.contigs_renamed.fasta 129 6113739 47393.33 350 494599 128 1270240
plate13.G3.pilon.contigs_renamed.fasta 126 5997429 47598.64 373.5 694391 128 1035618
plate13.G4.pilon.contigs_renamed.fasta 69 5971749 86547.09 3249 409831 128 905944
plate13.G5.pilon.contigs_renamed.fasta 54 5948728 110161.63 371 449329 128 1514769
plate13.G6.pilon.contigs_renamed.fasta 205 5939186 28971.64 10945 80684 128 308094
plate13.G7.pilon.contigs_renamed.fasta 295 6063400 20553.9 6717 61926 128 317376
plate13.G8.pilon.contigs_renamed.fasta 70 6090387 87005.53 337 578414 128 1114030
plate13.H10.pilon.contigs_renamed.fasta 94 6004967 63882.63 341.5 457191 128 875460
plate13.H11.pilon.contigs_renamed.fasta 138 6263435 45387.21 343 249597 128 560834
plate13.H12.pilon.contigs_renamed.fasta 136 6006726 44167.1 324.5 337306 128 656111
plate13.H2.pilon.contigs_renamed.fasta 1160 6732873 5804.2 358 417428 128 932916
plate13.H3.pilon.contigs_renamed.fasta 104 6131687 58958.53 320.5 546332 128 1231636
plate13.H4.pilon.contigs_renamed.fasta 54 5945333 110098.76 20656 354150 128 640079
plate13.H5.pilon.contigs_renamed.fasta 80 5943711 74296.39 36543.5 187140 128 561062
plate13.H6.pilon.contigs_renamed.fasta 129 6055501 46941.87 30386 94454 128 391011
plate13.H7.pilon.contigs_renamed.fasta 227 6066256 26723.59 9871 84052 128 407299
plate13.H9.pilon.contigs_renamed.fasta 327 5422834 16583.59 334 978061 128 1121580
plate1.A10.pilon.contigs_renamed.fasta 133 6007704 45170.71 342 1115744 128 1451348
plate1.A11.pilon.contigs_renamed.fasta 98 6155410 62810.31 349.5 848013 128 1426916
plate1.A12.pilon.contigs_renamed.fasta 86 6076288 70654.51 331 473407 128 1426915
plate1.A2.pilon.contigs_renamed.fasta 51 6026797 118172.49 355 812014 128 1651658
plate1.A3.pilon.contigs_renamed.fasta 70 5955546 85079.23 326 639923 128 1770236
plate1.A4.pilon.contigs_renamed.fasta 58 5951671 102615.02 339 729647 128 2685195
plate1.A5.pilon.contigs_renamed.fasta 57 5845405 102550.96 418 339204 128 645346
plate1.A7.pilon.contigs_renamed.fasta 32 5943200 185725 14997.5 720782 128 1704463
plate1.A8.pilon.contigs_renamed.fasta 69 6006977 87057.64 716 454241 128 1131531
plate1.A9.pilon.contigs_renamed.fasta 51 6001141 117669.43 2177 410306 128 1021803
plate1.B10.pilon.contigs_renamed.fasta 56 5976619 106725.34 725 499351 128 1054487
plate1.B11.pilon.contigs_renamed.fasta 52 6136973 118018.71 512.5 473407 128 1426916
plate1.B12.pilon.contigs_renamed.fasta 65 6141487 94484.42 301 848013 128 1426915
plate1.B1.pilon.contigs_renamed.fasta 53 6025392 113686.64 584 428866 128 1021201
plate1.B2.pilon.contigs_renamed.fasta 42 6023361 143413.36 721.5 564036 128 812014
plate1.B3.pilon.contigs_renamed.fasta 45 5947919 132175.98 424 639034 128 1515022
plate1.B4.pilon.contigs_renamed.fasta 45 5946362 132141.38 2019 414317 128 1377889
plate1.B5.pilon.contigs_renamed.fasta 49 5838541 119153.9 84848 249402 128 505294
plate1.B6.pilon.contigs_renamed.fasta 45 5836396 129697.69 100644 276686 128 393393
plate1.B7.pilon.contigs_renamed.fasta 38 5940583 156331.13 129416.5 286356 128 640172
plate1.B8.pilon.contigs_renamed.fasta 59 6002462 101736.64 1495 443989 128 1440934
plate1.B9.pilon.contigs_renamed.fasta 54 6001541 111139.65 2183.5 489724 128 1287700
plate1.C10.pilon.contigs_renamed.fasta 44 5944447 135101.07 14192.5 361864 128 683704
plate1.C11.pilon.contigs_renamed.fasta 46 5947315 129289.46 358 624467 128 1557176
plate1.C12.pilon.contigs_renamed.fasta 29 6079900 209651.72 303 1437556 128 1916386
plate1.C1.pilon.contigs_renamed.fasta 58 5957079 102708.26 329.5 820418 128 1476568
plate1.C2.pilon.contigs_renamed.fasta 40 5985039 149625.98 26801.5 446553 128 1418230
plate1.C3.pilon.contigs_renamed.fasta 51 5987270 117397.45 1961 446597 128 1250071
plate1.C4.pilon.contigs_renamed.fasta 40 5921210 148030.25 14816.5 427578 128 848640
plate1.C5.pilon.contigs_renamed.fasta 164 6013409 36667.13 375.5 285872 128 634544
plate1.C6.pilon.contigs_renamed.fasta 63 5837724 92662.29 82490 136611 128 483693
plate1.C7.pilon.contigs_renamed.fasta 70 5835364 83362.34 56586.5 130874 128 448892
plate1.C8.pilon.contigs_renamed.fasta 82 5998128 73147.9 21719 209155 128 669315
plate1.C9.pilon.contigs_renamed.fasta 40 5897429 147435.73 20575.5 357795 128 805790
plate1.D10.pilon.contigs_renamed.fasta 41 5944975 144999.39 3099 436011 128 1086743
plate1.D11.pilon.contigs_renamed.fasta 37 5944166 160653.14 631 623599 128 1320244
plate1.D12.pilon.contigs_renamed.fasta 24 6078301 253262.54 339.5 1148547 128 1388067
plate1.D1.pilon.contigs_renamed.fasta 50 5977426 119548.52 486.5 1115973 128 1452080
plate1.D2.pilon.contigs_renamed.fasta 50 5986357 119727.14 8641.5 497862 128 875460
plate1.D3.pilon.contigs_renamed.fasta 57 5827944 102244.63 1436 503607 128 871782
plate1.D4.pilon.contigs_renamed.fasta 57 5920045 103860.44 31632 263519 128 941726
plate1.D5.pilon.contigs_renamed.fasta 55 6056651 110120.93 30646 294319 128 1048915
plate1.D6.pilon.contigs_renamed.fasta 81 6231727 76934.9 47458 186323 128 389595
plate1.D7.pilon.contigs_renamed.fasta 63 5836513 92643.06 82627 132985 128 483529
plate1.D8.pilon.contigs_renamed.fasta 62 6017525 97056.85 45865 204779 128 811801
plate1.D9.pilon.contigs_renamed.fasta 56 5897192 105307 72883 268200 128 567490
plate1.E1.pilon.contigs_renamed.fasta 48 6026744 125557.17 21799 399615 128 559152
plate1.E3.pilon.contigs_renamed.fasta 57 5975569 104834.54 1673 462026 128 1076431
plate1.E4.pilon.contigs_renamed.fasta 59 5975928 101286.92 2002 593200 128 1223120
plate1.E5.pilon.contigs_renamed.fasta 44 5950200 135231.82 50833.5 269743 128 694732
plate1.E6.pilon.contigs_renamed.fasta 142 6019019 42387.46 9797 115131 128 442770
plate1.E7.pilon.contigs_renamed.fasta 56 6008922 107302.18 65261 220703 128 800613
plate1.E8.pilon.contigs_renamed.fasta 42 6096156 145146.57 67098 376518 128 1324941
plate1.F10.pilon.contigs_renamed.fasta 94 5892678 62688.06 29513.5 140111 128 474374
plate1.F12.pilon.contigs_renamed.fasta 58 5954900 102670.69 506.5 534351 128 837942
plate1.F1.pilon.contigs_renamed.fasta 183 6296139 34405.13 380 202625 128 473287
plate1.F2.pilon.contigs_renamed.fasta 122 6267803 51375.43 1046 202625 128 444125
plate1.F3.pilon.contigs_renamed.fasta 67 5977917 89222.64 395 542743 128 1253282
plate1.F4.pilon.contigs_renamed.fasta 55 5967809 108505.62 63113 234686 128 592449
plate1.F5.pilon.contigs_renamed.fasta 56 5984610 106868.04 22608 286698 128 666801
plate1.F7.pilon.contigs_renamed.fasta 42 6052908 144116.86 81280 323269 128 628745
plate1.F8.pilon.contigs_renamed.fasta 47 6055930 128849.57 36215 486424 128 814425
plate1.F9.pilon.contigs_renamed.fasta 62 5961393 96151.5 63740 203013 128 497298
plate1.G11.pilon.contigs_renamed.fasta 64 5981637 93463.08 396 726359 128 1451350
plate1.G12.pilon.contigs_renamed.fasta 610 5894817 9663.63 343 477264 128 787150
plate1.G1.pilon.contigs_renamed.fasta 68 5982402 87976.5 385.5 650965 128 1115964
plate1.G2.pilon.contigs_renamed.fasta 210 6017445 28654.5 370.5 274200 128 546010
plate1.G3.pilon.contigs_renamed.fasta 33 6079592 184230.06 342 740121 128 1248153
plate1.G4.pilon.contigs_renamed.fasta 59 6115731 103656.46 720 502403 128 786884
plate1.G5.pilon.contigs_renamed.fasta 55 5978000 108690.91 443 1029892 128 1361666
plate1.G6.pilon.contigs_renamed.fasta 46 5944892 129236.78 63706 274803 128 683707
