"","sys_id","type","subtype","sys_beg","sys_end","protein_in_syst","genes_count","name_of_profiles_in_sys","bacterial_strain"
"26","UserReplicon_Abi2_1","Abi2","Abi2","p1.A8|DMJKHGBF_04771","p1.A8|DMJKHGBF_04771","p1.A8|DMJKHGBF_04771","1","Abi_2","p1.A8"
"27","UserReplicon_Dnd_SspBCDE_2","Dnd","Dnd_SspBCDE","p1.A8|DMJKHGBF_04914","p1.A8|DMJKHGBF_04922","p1.A8|DMJKHGBF_04914,p1.A8|DMJKHGBF_04918,p1.A8|DMJKHGBF_04920,p1.A8|DMJKHGBF_04921,p1.A8|DMJKHGBF_04922","5","SspE,SspE,SspD,SspC,SspB","p1.A8"
"28","UserReplicon_Septu_5","Septu","Septu","p1.A8|DMJKHGBF_05128","p1.A8|DMJKHGBF_05129","p1.A8|DMJKHGBF_05128,p1.A8|DMJKHGBF_05129","2","PtuA,PtuB","p1.A8"
"29","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p1.A9|NLBJILHG_01770","p1.A9|NLBJILHG_01771","p1.A9|NLBJILHG_01770,p1.A9|NLBJILHG_01771","2","Type_IV_REases,Type_IV_REases","p1.A9"
"30","UserReplicon_Septu_5","Septu","Septu","p1.A9|NLBJILHG_02637","p1.A9|NLBJILHG_02638","p1.A9|NLBJILHG_02637,p1.A9|NLBJILHG_02638","2","PtuA,PtuB","p1.A9"
"31","UserReplicon_Gabija_3","Gabija","Gabija","p1.A9|NLBJILHG_04318","p1.A9|NLBJILHG_04319","p1.A9|NLBJILHG_04318,p1.A9|NLBJILHG_04319","2","GajA,GajB","p1.A9"
"32","UserReplicon_Abi2_1","Abi2","Abi2","p1.A9|NLBJILHG_04747","p1.A9|NLBJILHG_04747","p1.A9|NLBJILHG_04747","1","Abi_2","p1.A9"
"33","UserReplicon_Dnd_SspBCDE_2","Dnd","Dnd_SspBCDE","p1.A9|NLBJILHG_04890","p1.A9|NLBJILHG_04898","p1.A9|NLBJILHG_04890,p1.A9|NLBJILHG_04894,p1.A9|NLBJILHG_04896,p1.A9|NLBJILHG_04897,p1.A9|NLBJILHG_04898","5","SspE,SspE,SspD,SspC,SspB","p1.A9"
"34","UserReplicon_Abi2_1","Abi2","Abi2","p1.B1|GIFMJMHP_00645","p1.B1|GIFMJMHP_00645","p1.B1|GIFMJMHP_00645","1","Abi_2","p1.B1"
"35","UserReplicon_Septu_4","Septu","Septu","p1.B1|GIFMJMHP_01458","p1.B1|GIFMJMHP_01459","p1.B1|GIFMJMHP_01458,p1.B1|GIFMJMHP_01459","2","PtuA,PtuB","p1.B1"
"36","UserReplicon_RM_Type_IV_3","RM","RM_Type_IV","p1.B1|GIFMJMHP_02817","p1.B1|GIFMJMHP_02818","p1.B1|GIFMJMHP_02817,p1.B1|GIFMJMHP_02818","2","Type_IV_REases,Type_IV_REases","p1.B1"
"37","UserReplicon_RM_Type_III_2","RM","RM_Type_III","p1.B1|GIFMJMHP_04371","p1.B1|GIFMJMHP_04372","p1.B1|GIFMJMHP_04371,p1.B1|GIFMJMHP_04372","2","Type_III_MTases,Type_III_REases","p1.B1"
"38","UserReplicon_Abi2_1","Abi2","Abi2","p1.B10|EMOCBABO_01373","p1.B10|EMOCBABO_01373","p1.B10|EMOCBABO_01373","1","Abi_2","p1.B10"
"39","UserReplicon_Thoeris2_2","Thoeris","Thoeris2","p1.B10|EMOCBABO_02136","p1.B10|EMOCBABO_02140","p1.B10|EMOCBABO_02136,p1.B10|EMOCBABO_02137,p1.B10|EMOCBABO_02138,p1.B10|EMOCBABO_02139,p1.B10|EMOCBABO_02140","5","ThsB_Global,ThsB_Global,ThsB_Global,ThsB_Global,ThsA_new_grand","p1.B10"
"40","UserReplicon_Abi2_1","Abi2","Abi2","p1.B11|GBBJBOJA_03082","p1.B11|GBBJBOJA_03082","p1.B11|GBBJBOJA_03082","1","Abi_2","p1.B11"
"41","UserReplicon_CBASS_III_4","CBASS","CBASS_III","p1.B11|GBBJBOJA_03292","p1.B11|GBBJBOJA_03299","p1.B11|GBBJBOJA_03292,p1.B11|GBBJBOJA_03296,p1.B11|GBBJBOJA_03297,p1.B11|GBBJBOJA_03298,p1.B11|GBBJBOJA_03299","5","Phospholipase,Sensing_TPALS,TRIP13,bacHORMA_1,Cyclase_II","p1.B11"
"42","UserReplicon_Abi2_2","Abi2","Abi2","p1.B11|GBBJBOJA_04853","p1.B11|GBBJBOJA_04853","p1.B11|GBBJBOJA_04853","1","Abi_2","p1.B11"
"43","UserReplicon_RM_Type_IV_5","RM","RM_Type_IV","p1.B11|GBBJBOJA_05334","p1.B11|GBBJBOJA_05335","p1.B11|GBBJBOJA_05334,p1.B11|GBBJBOJA_05335","2","Type_IV_REases,Type_IV_REases","p1.B11"
"44","UserReplicon_Abi2_1","Abi2","Abi2","p1.B12|DDGNGPOD_01823","p1.B12|DDGNGPOD_01823","p1.B12|DDGNGPOD_01823","1","Abi_2","p1.B12"
"45","UserReplicon_Abi2_2","Abi2","Abi2","p1.B12|DDGNGPOD_02294","p1.B12|DDGNGPOD_02294","p1.B12|DDGNGPOD_02294","1","Abi_2","p1.B12"
"46","UserReplicon_CBASS_III_4","CBASS","CBASS_III","p1.B12|DDGNGPOD_02587","p1.B12|DDGNGPOD_02594","p1.B12|DDGNGPOD_02587,p1.B12|DDGNGPOD_02588,p1.B12|DDGNGPOD_02589,p1.B12|DDGNGPOD_02590,p1.B12|DDGNGPOD_02594","5","Cyclase_II,bacHORMA_1,TRIP13,Sensing_TPALS,Phospholipase","p1.B12"
"47","UserReplicon_RM_Type_IV_5","RM","RM_Type_IV","p1.B12|DDGNGPOD_04509","p1.B12|DDGNGPOD_04510","p1.B12|DDGNGPOD_04509,p1.B12|DDGNGPOD_04510","2","Type_IV_REases,Type_IV_REases","p1.B12"
"48","UserReplicon_RM_Type_III_2","RM","RM_Type_III","p1.B2|DCCFPABN_00141","p1.B2|DCCFPABN_00142","p1.B2|DCCFPABN_00141,p1.B2|DCCFPABN_00142","2","Type_III_MTases,Type_III_REases","p1.B2"
"49","UserReplicon_RM_Type_IV_3","RM","RM_Type_IV","p1.B2|DCCFPABN_01447","p1.B2|DCCFPABN_01448","p1.B2|DCCFPABN_01447,p1.B2|DCCFPABN_01448","2","Type_IV_REases,Type_IV_REases","p1.B2"
"50","UserReplicon_Septu_4","Septu","Septu","p1.B2|DCCFPABN_03026","p1.B2|DCCFPABN_03027","p1.B2|DCCFPABN_03026,p1.B2|DCCFPABN_03027","2","PtuA,PtuB","p1.B2"
"51","UserReplicon_Abi2_1","Abi2","Abi2","p1.B2|DCCFPABN_03986","p1.B2|DCCFPABN_03986","p1.B2|DCCFPABN_03986","1","Abi_2","p1.B2"
"52","UserReplicon_Abi2_1","Abi2","Abi2","p1.B3|NJAOJFEF_01872","p1.B3|NJAOJFEF_01872","p1.B3|NJAOJFEF_01872","1","Abi_2","p1.B3"
"53","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.B3|NJAOJFEF_02723","p1.B3|NJAOJFEF_02724","p1.B3|NJAOJFEF_02723,p1.B3|NJAOJFEF_02724","2","IetA,IetS","p1.B3"
"54","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.B3|NJAOJFEF_05107","p1.B3|NJAOJFEF_05107","p1.B3|NJAOJFEF_05107","1","AAA_15_DUF4435","p1.B3"
"55","UserReplicon_Abi2_1","Abi2","Abi2","p1.B4|FMKGANDN_01595","p1.B4|FMKGANDN_01595","p1.B4|FMKGANDN_01595","1","Abi_2","p1.B4"
"56","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.B4|FMKGANDN_02821","p1.B4|FMKGANDN_02821","p1.B4|FMKGANDN_02821","1","AAA_15_DUF4435","p1.B4"
"57","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.B4|FMKGANDN_05173","p1.B4|FMKGANDN_05174","p1.B4|FMKGANDN_05173,p1.B4|FMKGANDN_05174","2","IetS,IetA","p1.B4"
"58","UserReplicon_Abi2_1","Abi2","Abi2","p1.B5|NNMHIJPF_00750","p1.B5|NNMHIJPF_00750","p1.B5|NNMHIJPF_00750","1","Abi_2","p1.B5"
"59","UserReplicon_Abi2_1","Abi2","Abi2","p1.B6|CKJDPKLJ_00514","p1.B6|CKJDPKLJ_00514","p1.B6|CKJDPKLJ_00514","1","Abi_2","p1.B6"
"60","UserReplicon_Abi2_1","Abi2","Abi2","p1.B7|IMIEMBCL_00514","p1.B7|IMIEMBCL_00514","p1.B7|IMIEMBCL_00514","1","Abi_2","p1.B7"
"61","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.B7|IMIEMBCL_02341","p1.B7|IMIEMBCL_02342","p1.B7|IMIEMBCL_02341,p1.B7|IMIEMBCL_02342","2","IetA,IetS","p1.B7"
"62","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.B7|IMIEMBCL_03704","p1.B7|IMIEMBCL_03704","p1.B7|IMIEMBCL_03704","1","AAA_15_DUF4435","p1.B7"
"63","UserReplicon_Septu_5","Septu","Septu","p1.B8|OKKNHEDN_01038","p1.B8|OKKNHEDN_01039","p1.B8|OKKNHEDN_01038,p1.B8|OKKNHEDN_01039","2","PtuA,PtuB","p1.B8"
"64","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p1.B8|OKKNHEDN_04050","p1.B8|OKKNHEDN_04051","p1.B8|OKKNHEDN_04050,p1.B8|OKKNHEDN_04051","2","Type_IV_REases,Type_IV_REases","p1.B8"
"65","UserReplicon_Gabija_3","Gabija","Gabija","p1.B8|OKKNHEDN_04329","p1.B8|OKKNHEDN_04330","p1.B8|OKKNHEDN_04329,p1.B8|OKKNHEDN_04330","2","GajA,GajB","p1.B8"
"66","UserReplicon_Abi2_1","Abi2","Abi2","p1.B8|OKKNHEDN_04757","p1.B8|OKKNHEDN_04757","p1.B8|OKKNHEDN_04757","1","Abi_2","p1.B8"
"67","UserReplicon_Dnd_SspBCDE_2","Dnd","Dnd_SspBCDE","p1.B8|OKKNHEDN_04900","p1.B8|OKKNHEDN_04908","p1.B8|OKKNHEDN_04900,p1.B8|OKKNHEDN_04904,p1.B8|OKKNHEDN_04906,p1.B8|OKKNHEDN_04907,p1.B8|OKKNHEDN_04908","5","SspE,SspE,SspD,SspC,SspB","p1.B8"
"68","UserReplicon_Septu_5","Septu","Septu","p1.B9|OCLOLINM_00895","p1.B9|OCLOLINM_00896","p1.B9|OCLOLINM_00895,p1.B9|OCLOLINM_00896","2","PtuA,PtuB","p1.B9"
"69","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p1.B9|OCLOLINM_03929","p1.B9|OCLOLINM_03930","p1.B9|OCLOLINM_03929,p1.B9|OCLOLINM_03930","2","Type_IV_REases,Type_IV_REases","p1.B9"
"70","UserReplicon_Dnd_SspBCDE_2","Dnd","Dnd_SspBCDE","p1.B9|OCLOLINM_04301","p1.B9|OCLOLINM_04309","p1.B9|OCLOLINM_04301,p1.B9|OCLOLINM_04302,p1.B9|OCLOLINM_04303,p1.B9|OCLOLINM_04305,p1.B9|OCLOLINM_04309","5","SspB,SspC,SspD,SspE,SspE","p1.B9"
"71","UserReplicon_Abi2_1","Abi2","Abi2","p1.B9|OCLOLINM_04452","p1.B9|OCLOLINM_04452","p1.B9|OCLOLINM_04452","1","Abi_2","p1.B9"
"72","UserReplicon_Gabija_3","Gabija","Gabija","p1.B9|OCLOLINM_04879","p1.B9|OCLOLINM_04880","p1.B9|OCLOLINM_04879,p1.B9|OCLOLINM_04880","2","GajB,GajA","p1.B9"
"73","UserReplicon_Abi2_1","Abi2","Abi2","p1.C1|OJBBEIMN_03543","p1.C1|OJBBEIMN_03543","p1.C1|OJBBEIMN_03543","1","Abi_2","p1.C1"
"74","UserReplicon_CBASS_I_2","CBASS","CBASS_I","p1.C1|OJBBEIMN_03546","p1.C1|OJBBEIMN_03549","p1.C1|OJBBEIMN_03546,p1.C1|OJBBEIMN_03548,p1.C1|OJBBEIMN_03549","3","2TM_Gros,2TM_Gros,Cyclase_SMODS","p1.C1"
"75","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.C10|JGCCJMDL_04078","p1.C10|JGCCJMDL_04078","p1.C10|JGCCJMDL_04078","1","AAA_15_DUF4435","p1.C10"
"76","UserReplicon_Abi2_1","Abi2","Abi2","p1.C10|JGCCJMDL_04789","p1.C10|JGCCJMDL_04789","p1.C10|JGCCJMDL_04789","1","Abi_2","p1.C10"
"77","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.C10|JGCCJMDL_04966","p1.C10|JGCCJMDL_04967","p1.C10|JGCCJMDL_04966,p1.C10|JGCCJMDL_04967","2","IetA,IetS","p1.C10"
"78","UserReplicon_Abi2_1","Abi2","Abi2","p1.C11|MLGPCLNK_01913","p1.C11|MLGPCLNK_01913","p1.C11|MLGPCLNK_01913","1","Abi_2","p1.C11"
"79","UserReplicon_Gao_Iet_2","Gao_Iet","Gao_Iet","p1.C11|MLGPCLNK_02704","p1.C11|MLGPCLNK_02705","p1.C11|MLGPCLNK_02704,p1.C11|MLGPCLNK_02705","2","IetA,IetS","p1.C11"
"80","UserReplicon_PARIS_I_merge_3","PARIS","PARIS_I_merge","p1.C11|MLGPCLNK_04914","p1.C11|MLGPCLNK_04914","p1.C11|MLGPCLNK_04914","1","AAA_15_DUF4435","p1.C11"
"81","UserReplicon_DRT_2_2","DRT","DRT_2","p1.C12|JEMPMGBI_01132","p1.C12|JEMPMGBI_01132","p1.C12|JEMPMGBI_01132","1","drt2","p1.C12"
"82","UserReplicon_Abi2_1","Abi2","Abi2","p1.C12|JEMPMGBI_02180","p1.C12|JEMPMGBI_02180","p1.C12|JEMPMGBI_02180","1","Abi_2","p1.C12"
"83","UserReplicon_Hachiman_3","Hachiman","Hachiman","p1.C12|JEMPMGBI_02189","p1.C12|JEMPMGBI_02190","p1.C12|JEMPMGBI_02189,p1.C12|JEMPMGBI_02190","2","HamA_2,HamB","p1.C12"
"84","UserReplicon_RM_Type_IV_4","RM","RM_Type_IV","p1.C12|JEMPMGBI_02999","p1.C12|JEMPMGBI_03000","p1.C12|JEMPMGBI_02999,p1.C12|JEMPMGBI_03000","2","Type_IV_REases,Type_IV_REases","p1.C12"
"85","UserReplicon_Septu_5","Septu","Septu","p1.C12|JEMPMGBI_03164","p1.C12|JEMPMGBI_03165","p1.C12|JEMPMGBI_03164,p1.C12|JEMPMGBI_03165","2","PtuB,PtuA","p1.C12"
"86","UserReplicon_Rst_ATPase_8","Rst_ATPase","Rst_ATPase","p1.C2|PPHPFJPJ_00352","p1.C2|PPHPFJPJ_00352","p1.C2|PPHPFJPJ_00352","1","ATPase","p1.C2"
"87","UserReplicon_Gabija_1","Gabija","Gabija","p1.C2|PPHPFJPJ_00760","p1.C2|PPHPFJPJ_00761","p1.C2|PPHPFJPJ_00760,p1.C2|PPHPFJPJ_00761","2","GajA,GajB","p1.C2"
"88","UserReplicon_Hachiman_2","Hachiman","Hachiman","p1.C2|PPHPFJPJ_00763","p1.C2|PPHPFJPJ_00764","p1.C2|PPHPFJPJ_00763,p1.C2|PPHPFJPJ_00764","2","HamB,HamA_2","p1.C2"
"89","UserReplicon_Retron_III_7","Retron","Retron_III","p1.C2|PPHPFJPJ_00766","p1.C2|PPHPFJPJ_00767","p1.C2|PPHPFJPJ_00766,p1.C2|PPHPFJPJ_00767","2","PRTase_WH,RT_Tot","p1.C2"
"90","UserReplicon_Wadjet_I_10","Wadjet","Wadjet_I","p1.C2|PPHPFJPJ_01048","p1.C2|PPHPFJPJ_01051","p1.C2|PPHPFJPJ_01048,p1.C2|PPHPFJPJ_01049,p1.C2|PPHPFJPJ_01050,p1.C2|PPHPFJPJ_01051","4","JetD_I,JetC_I,JetB_I,JetA_I","p1.C2"
"91","UserReplicon_Hachiman_3","Hachiman","Hachiman","p1.C2|PPHPFJPJ_01326","p1.C2|PPHPFJPJ_01327","p1.C2|PPHPFJPJ_01326,p1.C2|PPHPFJPJ_01327","2","HamB,HamA_1","p1.C2"
"92","UserReplicon_RM_Type_IV_5","RM","RM_Type_IV","p1.C2|PPHPFJPJ_02283","p1.C2|PPHPFJPJ_02283","p1.C2|PPHPFJPJ_02283","1","Type_IV_REases","p1.C2"
"93","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p1.C2|PPHPFJPJ_03704","p1.C2|PPHPFJPJ_03707","p1.C2|PPHPFJPJ_03704,p1.C2|PPHPFJPJ_03707","2","Type_I_MTases,Type_I_REases","p1.C2"
"94","UserReplicon_Septu_9","Septu","Septu","p1.C2|PPHPFJPJ_03983","p1.C2|PPHPFJPJ_03984","p1.C2|PPHPFJPJ_03983,p1.C2|PPHPFJPJ_03984","2","PtuB,PtuA","p1.C2"
"95","UserReplicon_RM_Type_IV_6","RM","RM_Type_IV","p1.C2|PPHPFJPJ_03994","p1.C2|PPHPFJPJ_03994","p1.C2|PPHPFJPJ_03994","1","Type_IV_REases","p1.C2"
"96","UserReplicon_Rst_ATPase_8","Rst_ATPase","Rst_ATPase","p1.C3|GKFNJACC_00352","p1.C3|GKFNJACC_00352","p1.C3|GKFNJACC_00352","1","ATPase","p1.C3"
"97","UserReplicon_Gabija_1","Gabija","Gabija","p1.C3|GKFNJACC_00762","p1.C3|GKFNJACC_00763","p1.C3|GKFNJACC_00762,p1.C3|GKFNJACC_00763","2","GajA,GajB","p1.C3"
"98","UserReplicon_Hachiman_2","Hachiman","Hachiman","p1.C3|GKFNJACC_00765","p1.C3|GKFNJACC_00766","p1.C3|GKFNJACC_00765,p1.C3|GKFNJACC_00766","2","HamB,HamA_2","p1.C3"
"99","UserReplicon_Retron_III_7","Retron","Retron_III","p1.C3|GKFNJACC_00768","p1.C3|GKFNJACC_00769","p1.C3|GKFNJACC_00768,p1.C3|GKFNJACC_00769","2","PRTase_WH,RT_Tot","p1.C3"
"100","UserReplicon_Wadjet_I_10","Wadjet","Wadjet_I","p1.C3|GKFNJACC_01050","p1.C3|GKFNJACC_01053","p1.C3|GKFNJACC_01050,p1.C3|GKFNJACC_01051,p1.C3|GKFNJACC_01052,p1.C3|GKFNJACC_01053","4","JetD_I,JetC_I,JetB_I,JetA_I","p1.C3"
"101","UserReplicon_RM_Type_IV_5","RM","RM_Type_IV","p1.C3|GKFNJACC_01611","p1.C3|GKFNJACC_01611","p1.C3|GKFNJACC_01611","1","Type_IV_REases","p1.C3"
"102","UserReplicon_RM_Type_I_4","RM","RM_Type_I","p1.C3|GKFNJACC_02138","p1.C3|GKFNJACC_02141","p1.C3|GKFNJACC_02138,p1.C3|GKFNJACC_02141","2","Type_I_REases,Type_I_MTases","p1.C3"
"103","UserReplicon_Septu_9","Septu","Septu","p1.C3|GKFNJACC_02350","p1.C3|GKFNJACC_02351","p1.C3|GKFNJACC_02350,p1.C3|GKFNJACC_02351","2","PtuB,PtuA","p1.C3"
"104","UserReplicon_RM_Type_IV_6","RM","RM_Type_IV","p1.C3|GKFNJACC_02361","p1.C3|GKFNJACC_02361","p1.C3|GKFNJACC_02361","1","Type_IV_REases","p1.C3"
"105","UserReplicon_Hachiman_3","Hachiman","Hachiman","p1.C3|GKFNJACC_04484","p1.C3|GKFNJACC_04485","p1.C3|GKFNJACC_04484,p1.C3|GKFNJACC_04485","2","HamB,HamA_1","p1.C3"
"106","UserReplicon_RM_Type_I_3","RM","RM_Type_I","p1.C4|KHJPFJHO_00162","p1.C4|KHJPFJHO_00164","p1.C4|KHJPFJHO_00162,p1.C4|KHJPFJHO_00164","2","Type_I_REases,Type_I_MTases","p1.C4"
"107","UserReplicon_Abi2_1","Abi2","Abi2","p1.C4|KHJPFJHO_00709","p1.C4|KHJPFJHO_00709","p1.C4|KHJPFJHO_00709","1","Abi_2","p1.C4"
"108","UserReplicon_RM_Type_II_4","RM","RM_Type_II","p1.C4|KHJPFJHO_00710","p1.C4|KHJPFJHO_00711","p1.C4|KHJPFJHO_00710,p1.C4|KHJPFJHO_00711","2","Type_II_REases,Type_II_MTases","p1.C4"
"109","UserReplicon_Druantia_I_2","Druantia","Druantia_I","p1.C4|KHJPFJHO_04683","p1.C4|KHJPFJHO_04686","p1.C4|KHJPFJHO_04683,p1.C4|KHJPFJHO_04684,p1.C4|KHJPFJHO_04685,p1.C4|KHJPFJHO_04686","4","DruB,DruA,DruE_1,DruD","p1.C4"
"110","UserReplicon_Abi2_1","Abi2","Abi2","p1.C5|GFMHLEJA_00138","p1.C5|GFMHLEJA_00138","p1.C5|GFMHLEJA_00138","1","Abi_2","p1.C5"
"111","UserReplicon_RM_Type_II_3","RM","RM_Type_II","p1.C5|GFMHLEJA_01461","p1.C5|GFMHLEJA_01462","p1.C5|GFMHLEJA_01461,p1.C5|GFMHLEJA_01462","2","Type_II_MTases,Type_II_REases","p1.C5"
"112","UserReplicon_RM_Type_I_2","RM","RM_Type_I","p1.C5|GFMHLEJA_04523","p1.C5|GFMHLEJA_04525","p1.C5|GFMHLEJA_04523,p1.C5|GFMHLEJA_04525","2","Type_I_MTases,Type_I_REases","p1.C5"
"113","UserReplicon_Abi2_1","Abi2","Abi2","p1.C6|GHPPNBEN_00658","p1.C6|GHPPNBEN_00658","p1.C6|GHPPNBEN_00658","1","Abi_2","p1.C6"
"114","UserReplicon_Abi2_1","Abi2","Abi2","p1.C7|OEFEHNCL_01597","p1.C7|OEFEHNCL_01597","p1.C7|OEFEHNCL_01597","1","Abi_2","p1.C7"
